date,District,rainfall,temperature,humidity
2023-01-01,Anuradhapura,155.6,29.3,77.7
2023-02-01,Anuradhapura,127.9,30.9,77.4
2023-03-01,Anuradhapura,193.3,29.8,84.0
2023-04-01,Anuradhapura,190.6,27.1,72.6
2023-05-01,Anuradhapura,233.3,25.3,74.5
2023-06-01,Anuradhapura,208.3,29.3,87.1
2023-07-01,Anuradhapura,174.6,29.8,83.8
2023-08-01,Anuradhapura,133.4,26.7,71.9
2023-09-01,Anuradhapura,157.0,25.6,70.9
2023-10-01,Anuradhapura,207.0,25.6,73.6
2023-11-01,Anuradhapura,276.7,26.5,80.0
2023-12-01,Anuradhapura,193.9,27.3,76.7
2023-01-01,Badulla,161.4,25.4,80.7
2023-02-01,Badulla,125.9,25.4,76.2
2023-03-01,Badulla,188.5,24.1,81.9
2023-04-01,Badulla,192.4,22.4,73.3
2023-05-01,Badulla,240.9,21.1,77.0
2023-06-01,Badulla,207.5,24.2,86.8
2023-07-01,Badulla,149.1,20.5,71.5
2023-08-01,Badulla,147.8,24.5,79.7
2023-09-01,Badulla,153.9,20.1,69.5
2023-10-01,Badulla,226.5,23.0,80.5
2023-11-01,Badulla,296.0,23.4,85.6
2023-12-01,Badulla,197.5,22.8,78.2
2023-01-01,Bandarawela,150.2,23.2,75.0
2023-02-01,Bandarawela,121.6,24.4,73.6
2023-03-01,Bandarawela,195.8,25.2,85.1
2023-04-01,Bandarawela,214.2,25.5,81.6
2023-05-01,Bandarawela,265.8,23.8,84.9
2023-06-01,Bandarawela,186.1,21.2,77.8
2023-07-01,Bandarawela,162.8,22.8,78.1
2023-08-01,Bandarawela,131.7,21.3,71.0
2023-09-01,Bandarawela,181.8,24.7,82.1
2023-10-01,Bandarawela,224.4,22.8,79.8
2023-11-01,Bandarawela,270.5,20.9,78.2
2023-12-01,Bandarawela,211.7,24.8,83.8
2023-01-01,Batticaloa,136.3,25.6,68.1
2023-02-01,Batticaloa,127.3,30.8,77.1
2023-03-01,Batticaloa,171.8,26.5,74.6
2023-04-01,Batticaloa,212.1,30.2,80.8
2023-05-01,Batticaloa,241.1,26.2,77.0
2023-06-01,Batticaloa,192.8,27.1,80.6
2023-07-01,Batticaloa,165.6,28.3,79.4
2023-08-01,Batticaloa,140.8,28.1,75.9
2023-09-01,Batticaloa,166.9,27.2,75.3
2023-10-01,Batticaloa,209.9,26.0,74.6
2023-11-01,Batticaloa,283.1,27.1,81.9
2023-12-01,Batticaloa,191.7,27.0,75.9
2023-01-01,Colombo,147.3,27.7,73.6
2023-02-01,Colombo,116.3,28.1,70.4
2023-03-01,Colombo,177.9,27.5,77.3
2023-04-01,Colombo,218.5,31.1,83.3
2023-05-01,Colombo,253.6,27.5,81.0
2023-06-01,Colombo,198.9,28.0,83.2
2023-07-01,Colombo,168.0,28.7,80.6
2023-08-01,Colombo,130.9,26.2,70.6
2023-09-01,Colombo,181.6,29.6,82.0
2023-10-01,Colombo,235.2,29.1,83.6
2023-11-01,Colombo,265.3,25.4,76.8
2023-12-01,Colombo,177.5,25.0,70.3
2023-01-01,Galle,161.1,30.3,80.5
2023-02-01,Galle,112.4,27.2,68.0
2023-03-01,Galle,182.9,28.2,79.5
2023-04-01,Galle,186.7,26.6,71.2
2023-05-01,Galle,256.0,27.8,81.8
2023-06-01,Galle,200.1,28.2,83.6
2023-07-01,Galle,145.4,24.9,69.8
2023-08-01,Galle,141.8,28.3,76.4
2023-09-01,Galle,184.6,30.1,83.4
2023-10-01,Galle,204.7,25.3,72.8
2023-11-01,Galle,280.7,26.9,81.2
2023-12-01,Galle,196.1,27.6,77.6
2023-01-01,Hambantota,163.0,30.6,81.4
2023-02-01,Hambantota,123.4,29.9,74.7
2023-03-01,Hambantota,181.0,27.9,78.6
2023-04-01,Hambantota,182.3,26.0,69.5
2023-05-01,Hambantota,227.7,24.7,72.7
2023-06-01,Hambantota,199.3,28.1,83.3
2023-07-01,Hambantota,166.3,28.4,79.8
2023-08-01,Hambantota,150.4,30.0,81.1
2023-09-01,Hambantota,158.3,25.8,71.5
2023-10-01,Hambantota,229.0,28.4,81.4
2023-11-01,Hambantota,289.0,27.7,83.6
2023-12-01,Hambantota,211.6,29.8,83.7
2023-01-01,Jaffna,161.1,32.3,80.5
2023-02-01,Jaffna,109.4,28.5,66.2
2023-03-01,Jaffna,187.3,30.9,81.4
2023-04-01,Jaffna,200.4,30.5,76.4
2023-05-01,Jaffna,253.6,29.5,81.0
2023-06-01,Jaffna,198.4,29.9,82.9
2023-07-01,Jaffna,153.4,28.2,73.6
2023-08-01,Jaffna,136.2,29.2,73.4
2023-09-01,Jaffna,180.5,31.5,81.5
2023-10-01,Jaffna,213.1,28.4,75.8
2023-11-01,Jaffna,291.2,29.9,84.2
2023-12-01,Jaffna,193.2,29.2,76.5
