District,Population,Population_share
Colombo,"2,375,415",0.109055037
Jaffna,"594,751",0.027304952
Trincomalee,"442,745",0.020326373
Hambantota,"837,889",0.03846739
Ratnapura,2015899,0.092549697
Anuradhapura,"960,080",0.044077165
Katugastota,"1,461,895",0.067115436
Bandarawela,"65,488",0.003006547
Nuwara Eliya,"725,280",0.033297524
Kurunegala,"1,768,156",0.081175844
Puttalam,"818,816",0.037591751
Galle,"1,097,372",0.050380226
Badulla,"872,307",0.040047517
Mannar,"260,466",0.011957965
Vavuniya,"294,931",0.013540249
Mahaillukpallama,"526,870",0.024188543
Batticaloa,"595,918",0.027358529
Katunayake,"2,436,142",0.111843007
Ratmalana,"1,305,784",0.059948397
Potuvil,"744,551",0.034182253
Monaragala,"527,585",0.024221368
Mattala,"671,418",0.030824725
Polonnaruwa,"447,530",0.02032224
