dilution,batch,time_minutes,grade_numeric,grade_label,smear_type,filepath,filename
10%,1,5,2,II,thick,data\processed\10%_batch1_5min_2_thick.jpg,10%_batch1_5min_2_thick.jpg
10%,1,5,2,II,thin,data\processed\10%_batch1_5min_2_thin.jpg,10%_batch1_5min_2_thin.jpg
10%,1,6,2,II,thick,data\processed\10%_batch1_6min_2_thick.jpg,10%_batch1_6min_2_thick.jpg
10%,1,6,2,II,thin,data\processed\10%_batch1_6min_2_thin.jpg,10%_batch1_6min_2_thin.jpg
10%,1,7,2,II,thick,data\processed\10%_batch1_7min_2_thick.jpg,10%_batch1_7min_2_thick.jpg
10%,1,7,2,II,thin,data\processed\10%_batch1_7min_2_thin.jpg,10%_batch1_7min_2_thin.jpg
10%,1,8,2,II,thick,data\processed\10%_batch1_8min_2_thick.jpg,10%_batch1_8min_2_thick.jpg
10%,1,8,2,II,thin,data\processed\10%_batch1_8min_2_thin.jpg,10%_batch1_8min_2_thin.jpg
10%,1,9,2,II,thick,data\processed\10%_batch1_9min_2_thick.jpg,10%_batch1_9min_2_thick.jpg
10%,1,9,2,II,thin,data\processed\10%_batch1_9min_2_thin.jpg,10%_batch1_9min_2_thin.jpg
10%,1,10,3,III,thick,data\processed\10%_batch1_10min_3_thick.jpg,10%_batch1_10min_3_thick.jpg
10%,1,10,3,III,thin,data\processed\10%_batch1_10min_3_thin.jpg,10%_batch1_10min_3_thin.jpg
10%,1,11,4,IV,thick,data\processed\10%_batch1_11min_4_thick.jpg,10%_batch1_11min_4_thick.jpg
10%,1,11,4,IV,thin,data\processed\10%_batch1_11min_4_thin.jpg,10%_batch1_11min_4_thin.jpg
10%,1,12,4,IV,thick,data\processed\10%_batch1_12min_4_thick.jpg,10%_batch1_12min_4_thick.jpg
10%,1,12,4,IV,thin,data\processed\10%_batch1_12min_4_thin.jpg,10%_batch1_12min_4_thin.jpg
10%,1,13,4,IV,thick,data\processed\10%_batch1_13min_4_thick.jpg,10%_batch1_13min_4_thick.jpg
10%,1,13,4,IV,thin,data\processed\10%_batch1_13min_4_thin.jpg,10%_batch1_13min_4_thin.jpg
10%,1,14,4,IV,thick,data\processed\10%_batch1_14min_4_thick.jpg,10%_batch1_14min_4_thick.jpg
10%,1,15,4,IV,thin,data\processed\10%_batch1_15min_4_thin.jpg,10%_batch1_15min_4_thin.jpg
10%,1,16,4,IV,thick,data\processed\10%_batch1_16min_4_thick.jpg,10%_batch1_16min_4_thick.jpg
10%,1,16,4,IV,thin,data\processed\10%_batch1_16min_4_thin.jpg,10%_batch1_16min_4_thin.jpg
10%,1,17,5,V,thick,data\processed\10%_batch1_17min_5_thick.jpg,10%_batch1_17min_5_thick.jpg
10%,1,17,5,V,thin,data\processed\10%_batch1_17min_5_thin.jpg,10%_batch1_17min_5_thin.jpg
10%,1,18,5,V,thick,data\processed\10%_batch1_18min_5_thick.jpg,10%_batch1_18min_5_thick.jpg
10%,1,18,5,V,thin,data\processed\10%_batch1_18min_5_thin.jpg,10%_batch1_18min_5_thin.jpg
10%,1,19,5,V,thick,data\processed\10%_batch1_19min_5_thick.jpg,10%_batch1_19min_5_thick.jpg
10%,1,19,5,V,thin,data\processed\10%_batch1_19min_5_thin.jpg,10%_batch1_19min_5_thin.jpg
10%,1,20,5,V,thick,data\processed\10%_batch1_20min_5_thick.jpg,10%_batch1_20min_5_thick.jpg
10%,1,20,5,V,thin,data\processed\10%_batch1_20min_5_thin.jpg,10%_batch1_20min_5_thin.jpg
10%,2,5,2,II,thick,data\processed\10%_batch2_5min_2_thick.jpg,10%_batch2_5min_2_thick.jpg
10%,2,5,2,II,thin,data\processed\10%_batch2_5min_2_thin.jpg,10%_batch2_5min_2_thin.jpg
10%,2,6,2,II,thick,data\processed\10%_batch2_6min_2_thick.jpg,10%_batch2_6min_2_thick.jpg
10%,2,6,2,II,thin,data\processed\10%_batch2_6min_2_thin.jpg,10%_batch2_6min_2_thin.jpg
10%,2,7,2,II,thick,data\processed\10%_batch2_7min_2_thick.jpg,10%_batch2_7min_2_thick.jpg
10%,2,7,2,II,thin,data\processed\10%_batch2_7min_2_thin.jpg,10%_batch2_7min_2_thin.jpg
10%,2,8,2,II,thick,data\processed\10%_batch2_8min_2_thick.jpg,10%_batch2_8min_2_thick.jpg
10%,2,8,2,II,thin,data\processed\10%_batch2_8min_2_thin.jpg,10%_batch2_8min_2_thin.jpg
10%,2,9,2,II,thick,data\processed\10%_batch2_9min_2_thick.jpg,10%_batch2_9min_2_thick.jpg
10%,2,9,2,II,thin,data\processed\10%_batch2_9min_2_thin.jpg,10%_batch2_9min_2_thin.jpg
10%,2,10,3,III,thick,data\processed\10%_batch2_10min_3_thick.jpg,10%_batch2_10min_3_thick.jpg
10%,2,10,3,III,thin,data\processed\10%_batch2_10min_3_thin.jpg,10%_batch2_10min_3_thin.jpg
10%,2,11,3,III,thick,data\processed\10%_batch2_11min_3_thick.jpg,10%_batch2_11min_3_thick.jpg
10%,2,11,3,III,thin,data\processed\10%_batch2_11min_3_thin.jpg,10%_batch2_11min_3_thin.jpg
10%,2,12,4,IV,thick,data\processed\10%_batch2_12min_4_thick.jpg,10%_batch2_12min_4_thick.jpg
10%,2,12,4,IV,thin,data\processed\10%_batch2_12min_4_thin.jpg,10%_batch2_12min_4_thin.jpg
10%,2,13,4,IV,thick,data\processed\10%_batch2_13min_4_thick.jpg,10%_batch2_13min_4_thick.jpg
10%,2,13,4,IV,thin,data\processed\10%_batch2_13min_4_thin.jpg,10%_batch2_13min_4_thin.jpg
10%,2,14,4,IV,thick,data\processed\10%_batch2_14min_4_thick.jpg,10%_batch2_14min_4_thick.jpg
10%,2,14,4,IV,thin,data\processed\10%_batch2_14min_4_thin.jpg,10%_batch2_14min_4_thin.jpg
10%,2,15,4,IV,thick,data\processed\10%_batch2_15min_4_thick.jpg,10%_batch2_15min_4_thick.jpg
10%,2,15,4,IV,thin,data\processed\10%_batch2_15min_4_thin.jpg,10%_batch2_15min_4_thin.jpg
10%,2,16,4,IV,thick,data\processed\10%_batch2_16min_4_thick.jpg,10%_batch2_16min_4_thick.jpg
10%,2,16,4,IV,thin,data\processed\10%_batch2_16min_4_thin.jpg,10%_batch2_16min_4_thin.jpg
10%,2,17,4,IV,thick,data\processed\10%_batch2_17min_4_thick.jpg,10%_batch2_17min_4_thick.jpg
10%,2,17,4,IV,thin,data\processed\10%_batch2_17min_4_thin.jpg,10%_batch2_17min_4_thin.jpg
10%,2,18,5,V,thick,data\processed\10%_batch2_18min_5_thick.jpg,10%_batch2_18min_5_thick.jpg
10%,2,18,5,V,thin,data\processed\10%_batch2_18min_5_thin.jpg,10%_batch2_18min_5_thin.jpg
10%,2,19,5,V,thick,data\processed\10%_batch2_19min_5_thick.jpg,10%_batch2_19min_5_thick.jpg
10%,2,19,5,V,thin,data\processed\10%_batch2_19min_5_thin.jpg,10%_batch2_19min_5_thin.jpg
10%,2,20,5,V,thick,data\processed\10%_batch2_20min_5_thick.jpg,10%_batch2_20min_5_thick.jpg
10%,2,20,5,V,thin,data\processed\10%_batch2_20min_5_thin.jpg,10%_batch2_20min_5_thin.jpg
10%,3,5,2,II,thick,data\processed\10%_batch3_5min_2_thick.jpg,10%_batch3_5min_2_thick.jpg
10%,3,5,2,II,thin,data\processed\10%_batch3_5min_2_thin.jpg,10%_batch3_5min_2_thin.jpg
10%,3,6,2,II,thick,data\processed\10%_batch3_6min_2_thick.jpg,10%_batch3_6min_2_thick.jpg
10%,3,6,2,II,thin,data\processed\10%_batch3_6min_2_thin.jpg,10%_batch3_6min_2_thin.jpg
10%,3,7,2,II,thick,data\processed\10%_batch3_7min_2_thick.jpg,10%_batch3_7min_2_thick.jpg
10%,3,7,2,II,thin,data\processed\10%_batch3_7min_2_thin.jpg,10%_batch3_7min_2_thin.jpg
10%,3,8,2,II,thick,data\processed\10%_batch3_8min_2_thick.jpg,10%_batch3_8min_2_thick.jpg
10%,3,8,2,II,thin,data\processed\10%_batch3_8min_2_thin.jpg,10%_batch3_8min_2_thin.jpg
10%,3,9,2,II,thick,data\processed\10%_batch3_9min_2_thick.jpg,10%_batch3_9min_2_thick.jpg
10%,3,9,2,II,thin,data\processed\10%_batch3_9min_2_thin.jpg,10%_batch3_9min_2_thin.jpg
10%,3,10,3,III,thick,data\processed\10%_batch3_10min_3_thick.jpg,10%_batch3_10min_3_thick.jpg
10%,3,10,2,II,thin,data\processed\10%_batch3_10min_2_thin.jpg,10%_batch3_10min_2_thin.jpg
10%,3,11,3,III,thick,data\processed\10%_batch3_11min_3_thick.jpg,10%_batch3_11min_3_thick.jpg
10%,3,11,2,II,thin,data\processed\10%_batch3_11min_2_thin.jpg,10%_batch3_11min_2_thin.jpg
10%,3,12,3,III,thick,data\processed\10%_batch3_12min_3_thick.jpg,10%_batch3_12min_3_thick.jpg
10%,3,12,2,II,thin,data\processed\10%_batch3_12min_2_thin.jpg,10%_batch3_12min_2_thin.jpg
10%,3,13,3,III,thick,data\processed\10%_batch3_13min_3_thick.jpg,10%_batch3_13min_3_thick.jpg
10%,3,13,2,II,thin,data\processed\10%_batch3_13min_2_thin.jpg,10%_batch3_13min_2_thin.jpg
10%,3,14,4,IV,thick,data\processed\10%_batch3_14min_4_thick.jpg,10%_batch3_14min_4_thick.jpg
